iso3,epi_score,edition,source_url,retrieved_date
CHN,464,2025,https://www.ef.com/wwen/epi/,2026-07-05
JPN,446,2025,https://www.ef.com/wwen/epi/,2026-07-05
HKG,538,2025,https://www.ef.com/wwen/epi/,2026-07-05
ISR,524,2025,https://www.ef.com/wwen/epi/,2026-07-05
MYS,581,2025,https://www.ef.com/wwen/epi/,2026-07-05
MAR,492,2025,https://www.ef.com/wwen/epi/,2026-07-05
PAK,493,2025,https://www.ef.com/wwen/epi/,2026-07-05
DEU,615,2025,https://www.ef.com/wwen/epi/,2026-07-05
NLD,624,2025,https://www.ef.com/wwen/epi/,2026-07-05
VNM,500,2025,https://www.ef.com/wwen/epi/,2026-07-05
IRN,492,2025,https://www.ef.com/wwen/epi/,2026-07-05
ITA,513,2025,https://www.ef.com/wwen/epi/,2026-07-05
EGY,458,2025,https://www.ef.com/wwen/epi/,2026-07-05
ROU,605,2025,https://www.ef.com/wwen/epi/,2026-07-05
PHL,569,2025,https://www.ef.com/wwen/epi/,2026-07-05
TUR,488,2025,https://www.ef.com/wwen/epi/,2026-07-05
FRA,539,2025,https://www.ef.com/wwen/epi/,2026-07-05
SAU,404,2025,https://www.ef.com/wwen/epi/,2026-07-05
IND,484,2025,https://www.ef.com/wwen/epi/,2026-07-05
RUS,521,2025,https://www.ef.com/wwen/epi/,2026-07-05
EST,561,2025,https://www.ef.com/wwen/epi/,2026-07-05
