iso3,pdi,idv,source_url,retrieved_date
AUS,38.0,90.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
CAN,39.0,80.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
CHN,80.0,20.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
EGY,,,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
EST,40.0,60.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
FRA,68.0,71.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
DEU,35.0,67.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
GBR,35.0,89.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
HKG,68.0,25.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
IND,77.0,48.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
IRN,58.0,41.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
ISR,13.0,54.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
ITA,50.0,76.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
JAM,45.0,39.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
JPN,54.0,46.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
MYS,104.0,26.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
MAR,70.0,46.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
NLD,38.0,80.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
NZL,22.0,79.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
PAK,55.0,14.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
PHL,94.0,32.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
ROU,90.0,30.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
RUS,93.0,39.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
SAU,,,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
SGP,74.0,20.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
TWN,58.0,17.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
TUR,66.0,37.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
USA,40.0,91.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
VNM,70.0,20.0,https://geerthofstede.com/wp-content/uploads/2016/08/6-dimensions-for-website-2015-08-16.csv,2026-07-05
