wildchat_name,n_first,n_later,please_first,please_later
OVERALL,83499.0,93660.0,26.72,5.21
Australia,1402.0,2772.0,16.83,7.11
Canada,2857.0,4577.0,11.38,3.34
China,7021.0,3419.0,77.82,6.17
Egypt,1614.0,2878.0,6.94,6.64
Estonia,589.0,614.0,4.58,1.95
France,2971.0,2312.0,5.99,3.2
Germany,2054.0,2590.0,16.55,6.99
Hong Kong,5560.0,3526.0,69.08,9.67
India,3244.0,6593.0,6.07,3.32
Iran,907.0,1584.0,10.69,5.56
Israel,741.0,459.0,37.11,12.42
Italy,639.0,759.0,7.67,5.8
Jamaica,560.0,570.0,9.29,2.28
Japan,2342.0,1257.0,76.73,11.46
Malaysia,650.0,819.0,33.85,3.42
Morocco,1084.0,2436.0,26.48,9.65
New Zealand,998.0,1284.0,3.41,1.71
Pakistan,589.0,872.0,9.34,12.84
Philippines,1735.0,3311.0,9.16,5.26
Romania,920.0,1278.0,2.72,9.39
Russia,7193.0,8489.0,5.16,2.53
Saudi Arabia,750.0,1798.0,7.2,3.62
Singapore,1624.0,1079.0,64.53,6.02
Taiwan,1801.0,271.0,84.51,7.38
The Netherlands,848.0,1275.0,14.74,5.1
Türkiye,603.0,1205.0,6.8,3.73
United Kingdom,5745.0,7613.0,10.03,5.39
United States,25935.0,27068.0,18.2,4.97
Vietnam,523.0,952.0,15.49,3.05
