wildchat_name,n_turns,share_template,please_template,please_freehand
OVERALL,177159.0,12.98,76.94,6.16
Israel,1200.0,28.33,54.41,17.09
Japan,3599.0,47.15,96.58,15.88
Hong Kong,9086.0,39.97,97.66,11.64
Pakistan,1461.0,3.29,8.33,11.54
Germany,4644.0,4.59,37.56,9.95
Singapore,2703.0,35.66,97.93,9.72
Australia,4174.0,3.98,57.83,8.41
China,10440.0,51.26,98.17,8.27
Iran,2491.0,3.85,2.08,7.64
The Netherlands,2123.0,4.33,43.48,7.39
Egypt,4492.0,5.19,0.86,7.07
Malaysia,1469.0,23.35,50.15,6.75
Taiwan,2072.0,76.79,94.97,6.44
United Kingdom,13358.0,4.6,27.36,6.42
Philippines,5046.0,3.27,13.94,6.35
Morocco,3520.0,29.49,35.55,6.16
United States,53003.0,8.97,66.5,6.02
Italy,1398.0,7.87,20.91,5.43
Jamaica,1130.0,9.65,9.17,5.39
Saudi Arabia,2548.0,1.65,0.0,4.75
Türkiye,1808.0,2.99,20.37,4.28
Romania,2198.0,3.32,76.71,4.19
Canada,7434.0,5.88,44.16,4.07
India,9837.0,3.06,15.95,3.86
France,5283.0,2.59,43.07,3.75
Russia,15682.0,1.74,9.52,3.63
Vietnam,1475.0,6.78,61.0,3.56
Estonia,1203.0,0.33,75.0,3.0
New Zealand,2282.0,0.66,26.67,2.29
