country,n_conversations
Afghanistan,94
Albania,23
Algeria,199
Antigua and Barbuda,1
Argentina,211
Armenia,45
Aruba,2
Austria,101
Azerbaijan,52
Bahamas,1
Bahrain,35
Bangladesh,177
Belarus,329
Belgium,304
Belize,2
Benin,1
Bhutan,1
Bolivia,1
Bosnia and Herzegovina,3
Botswana,18
Brazil,402
Brunei,2
Bulgaria,152
Burundi,1
Cambodia,159
Cameroon,31
Chile,20
Colombia,44
Cook Islands,2
Costa Rica,3
Croatia,74
Cuba,7
Curaçao,11
Cyprus,15
Czechia,59
DR Congo,41
Denmark,182
Dominican Republic,4
Ecuador,31
El Salvador,6
Eswatini,1
Ethiopia,286
Fiji,2
Finland,245
French Polynesia,1
Gabon,2
Georgia,58
Ghana,56
Gibraltar,67
Greece,183
Guam,2
Guatemala,10
Guernsey,1
Guyana,9
Haiti,2
Hungary,93
Indonesia,225
Iraq,85
Ireland,126
Ivory Coast,4
Jordan,115
Kazakhstan,109
Kenya,201
Kosovo,29
Kuwait,45
Kyrgyzstan,10
Laos,11
Latvia,38
Lebanon,74
Liberia,7
Libya,9
Lithuania,54
Luxembourg,39
Macao,159
Madagascar,1
Malawi,1
Maldives,2
Malta,44
Mauritius,137
Mexico,469
Moldova,47
Monaco,2
Mongolia,8
Montenegro,3
Mozambique,3
Myanmar,26
Namibia,3
Nepal,76
New Caledonia,1
Nicaragua,1
Niger,1
Nigeria,433
North Macedonia,5
Norway,138
Oman,30
Palestine,53
Panama,4
Papua New Guinea,30
Paraguay,1
Peru,196
Poland,478
Portugal,217
Puerto Rico,8
Qatar,89
Rwanda,65
Senegal,4
Serbia,130
Seychelles,20
Sierra Leone,1
Slovakia,36
Slovenia,39
Somalia,6
South Africa,218
South Korea,485
South Sudan,1
Spain,460
Sri Lanka,147
St Vincent and Grenadines,1
Sudan,6
Suriname,1
Sweden,241
Switzerland,166
Syria,82
Tajikistan,8
Tanzania,34
Thailand,173
Trinidad and Tobago,11
Tunisia,81
Uganda,16
Ukraine,409
United Arab Emirates,269
Uruguay,36
Uzbekistan,146
Venezuela,104
Yemen,64
Zambia,28
Zimbabwe,19
