# viz export: pronoun dot-panel. seed=20260707, cut=freehand, n=1000/group
# detection: patterns.has_first_person / has_second_person (same as published)
# sanity prompts: first 29.1% (pub 31.8), second 26.9% (pub 26.6), n=1000
# sanity orcas: first 1.7% (pub 2.3), second 0.6% (pub 0.8), n=1000
group,dot_id,has_first_person,has_second_person
prompts,0,0,0
prompts,1,0,1
prompts,2,1,1
prompts,3,0,0
prompts,4,0,0
prompts,5,1,1
prompts,6,0,0
prompts,7,0,1
prompts,8,1,0
prompts,9,1,1
prompts,10,1,1
prompts,11,0,1
prompts,12,1,0
prompts,13,1,1
prompts,14,0,1
prompts,15,1,0
prompts,16,1,0
prompts,17,0,0
prompts,18,0,0
prompts,19,0,0
prompts,20,0,0
prompts,21,0,0
prompts,22,0,0
prompts,23,0,0
prompts,24,0,0
prompts,25,1,0
prompts,26,0,0
prompts,27,1,1
prompts,28,1,0
prompts,29,0,0
prompts,30,0,1
prompts,31,1,0
prompts,32,1,0
prompts,33,1,1
prompts,34,0,0
prompts,35,0,0
prompts,36,0,0
prompts,37,1,1
prompts,38,0,0
prompts,39,1,1
prompts,40,0,0
prompts,41,0,0
prompts,42,1,1
prompts,43,0,0
prompts,44,0,1
prompts,45,1,1
prompts,46,0,0
prompts,47,0,0
prompts,48,0,0
prompts,49,1,0
prompts,50,1,1
prompts,51,0,1
prompts,52,0,0
prompts,53,0,0
prompts,54,1,1
prompts,55,0,1
prompts,56,1,1
prompts,57,0,0
prompts,58,1,0
prompts,59,0,1
prompts,60,0,1
prompts,61,0,0
prompts,62,0,0
prompts,63,1,0
prompts,64,0,0
prompts,65,0,0
prompts,66,0,0
prompts,67,1,0
prompts,68,0,0
prompts,69,0,0
prompts,70,0,1
prompts,71,0,0
prompts,72,0,0
prompts,73,1,0
prompts,74,0,1
prompts,75,0,0
prompts,76,0,0
prompts,77,0,1
prompts,78,0,1
prompts,79,0,0
prompts,80,0,0
prompts,81,0,1
prompts,82,1,0
prompts,83,0,1
prompts,84,1,1
prompts,85,0,1
prompts,86,0,0
prompts,87,0,1
prompts,88,1,0
prompts,89,0,0
prompts,90,0,0
prompts,91,0,1
prompts,92,0,0
prompts,93,1,1
prompts,94,1,1
prompts,95,0,0
prompts,96,1,0
prompts,97,0,0
prompts,98,0,0
prompts,99,0,0
prompts,100,0,0
prompts,101,1,0
prompts,102,0,1
prompts,103,0,0
prompts,104,0,0
prompts,105,1,1
prompts,106,0,0
prompts,107,0,1
prompts,108,0,0
prompts,109,0,1
prompts,110,1,1
prompts,111,0,0
prompts,112,0,0
prompts,113,0,0
prompts,114,0,0
prompts,115,0,0
prompts,116,0,1
prompts,117,0,1
prompts,118,0,0
prompts,119,0,0
prompts,120,1,0
prompts,121,0,0
prompts,122,0,0
prompts,123,0,0
prompts,124,0,0
prompts,125,0,0
prompts,126,0,0
prompts,127,1,1
prompts,128,0,0
prompts,129,0,0
prompts,130,0,0
prompts,131,0,0
prompts,132,0,0
prompts,133,0,1
prompts,134,0,0
prompts,135,1,1
prompts,136,0,0
prompts,137,0,0
prompts,138,1,0
prompts,139,0,0
prompts,140,1,0
prompts,141,0,1
prompts,142,0,0
prompts,143,0,0
prompts,144,0,0
prompts,145,0,0
prompts,146,0,1
prompts,147,0,0
prompts,148,0,1
prompts,149,1,0
prompts,150,0,1
prompts,151,0,0
prompts,152,1,0
prompts,153,1,0
prompts,154,0,0
prompts,155,1,0
